k,ortho_loss_standard,ortho_loss_regenerated,basis_drift_fro,solution_deviation_l2
390,0.031202685643488548,0.031202685643488548,0.0,0.0
400,0.08480779566223172,0.08480779566223172,0.0,0.0
410,0.22831943879546443,0.22831943879546443,0.0,0.0
420,0.5806447521873317,0.5806447521873317,0.0,0.0
430,1.0986453759982626,1.0986453759982626,0.0,0.0
440,1.356581977210856,1.356581977210856,0.0,0.0
450,1.406115984469491,1.406115984469491,0.0,0.0
460,1.4130878942798835,1.4130878942798835,0.0,0.0
470,1.4140645788660906,1.4140645788660906,0.0,0.0
480,1.4141937830608777,1.4141937830608777,0.0,0.0
490,1.4142108853455726,1.4142108853455726,0.0,0.0
500,1.4142132037724975,1.4142132037724975,0.0,0.0
510,1.4142135142788892,1.4142135142788892,0.0,0.0
520,1.4142135558664475,1.4142135558664475,0.0,0.0
530,1.4142135614788403,1.4142135614788403,0.0,0.0
540,1.414213562254744,1.414213562254744,0.0,0.0
550,1.414213562357428,1.414213562357428,0.0,0.0
560,1.4142135623710121,1.4142135623710121,0.0,0.0
570,1.4142135623728238,1.4142135623728238,0.0,0.0
580,1.4142135623730623,1.4142135623730623,0.0,0.0
590,1.4142135623730945,1.4142135623730945,0.0,0.0
600,1.414213562373099,1.414213562373099,0.0,0.0
610,1.4142135623731,1.4142135623731,0.0,0.0
620,1.4142135623731016,1.4142135623731016,0.0,0.0
630,1.414213562373106,1.414213562373106,0.0,0.0
640,1.4142135623731216,1.4142135623731216,0.0,0.0
650,1.4142135623731835,1.4142135623731835,0.0,0.0
660,1.4142135623733991,1.4142135623733991,0.0,0.0
670,1.4142135623742325,1.4142135623742325,0.0,0.0
680,1.4142135623775074,1.4142135623775074,0.0,0.0
690,1.414213562387006,1.414213562387006,0.0,0.0
700,1.414213562420498,1.414213562420498,0.0,0.0
710,1.4142135625646064,1.4142135625646064,0.0,0.0
720,1.4142135632688169,1.4142135632688169,0.0,0.0
730,1.4142135672032208,1.4142135672032208,0.0,0.0
740,1.4142135916217022,1.4142135916217022,0.0,0.0
750,1.4142137571736775,1.4142137571736775,0.0,0.0
760,1.414214919923887,1.414214919923887,0.0,0.0
770,1.4142235196697381,1.4142235196697381,0.0,0.0
780,1.4142884939582188,1.4142884939582188,0.0,0.0
790,1.4147822431651917,1.4147822431651917,0.0,0.0
800,1.418526567286894,1.418526567286894,0.0,0.0
810,1.4460925594740703,1.4460925594740703,0.0,0.0
820,1.6119902395640695,1.6119902395640695,0.0,0.0
830,2.063403614922905,2.063403614922905,0.0,0.0
840,2.3737715137595554,2.3737715137595554,0.0,0.0
850,2.4551538193176903,2.4551538193176903,0.0,0.0
860,2.5175112259144403,2.5175112259144403,0.0,0.0
870,2.64019878488179,2.64019878488179,0.0,0.0
880,2.7645822805328364,2.7645822805328364,0.0,0.0
890,2.8473105611115654,2.8473105611115654,0.0,0.0
900,2.956275793727053,2.956275793727053,0.0,0.0
910,3.08011290301223,3.08011290301223,0.0,0.0
920,3.140669943954349,3.140669943954349,0.0,0.0
930,3.157146672430307,3.157146672430307,0.0,0.0
940,3.161551742329176,3.161551742329176,0.0,0.0
950,3.1634165217870915,3.1634165217870915,0.0,0.0
960,3.1686291738248844,3.1686291738248844,0.0,0.0
970,3.1967241896735366,3.1967241896735366,0.0,0.0
980,3.2980671674910265,3.2980671674910265,0.0,0.0
990,3.4905403264718657,3.4905403264718657,0.0,0.0
1000,3.658478601937162,3.658478601937162,0.0,0.0
